sciper;labAcronyme;siteUrl;doublon;clusters;idSite
100192;PV-LAB;https://www.epfl.ch/labs/pvlab;;Energy systems;aHfQJ8PgbzA5rA9Xn
100810;CEAT;https://www.epfl.ch/labs/ceat;;Territory and society;3KNnS5pHaFkCgc7yZ
101010;LCH;https://www.epfl.ch/labs/lch;;Structure and materials|Civil engineering and ENAC;tqE6GKmn3RWAGE8fa
101475;LTS4;https://www.epfl.ch/labs/lts4;;Data and network sciences|Imaging and vision|Learning and decision systems|Personalized health|Sports technology;fTn9xX5FRo96aDGL2
101874;INSTANT-LAB;https://www.epfl.ch/labs/instantlab;;Advanced manufacturing|Micro and nanosystems|Robotics and autonomous systems|Soft matter and flexible structures|Space technology|Sports technology;W3JGmYrBQCLWRSv6R
101954;LAP;https://lap.epfl.ch;;Computer architecture and integrated systems;gJqEbGtyvHe2esXYi
102717;LSRO;https://lsro.epfl.ch;;Bio-inspired designs and systems|Robotics and autonomous systems;PqSGa6X9drdojvG5c
103117;LBO;https://www.epfl.ch/labs/lbo;;Bio-inspired designs and systems|Personalized health|Soft matter and flexible structures;SdhHPBsCbArikbZ5B
103324;LAST;https://www.epfl.ch/labs/last;;Construction and sustainable development;jc4ZFxta3Btxmg5Pv
103561;LTPN;https://www.epfl.ch/labs/ltpn;;Condensed matter theory|Nanosciences|Quantum photonics|Statistical mechanics and quantum information|Theoretical Physics;3psNfmdzSzyWTGEBR
103606;LAMD;https://www.epfl.ch/labs/lamd;;Energy systems;4EHGoPNJHnMh4BQaS
103938;LIPID;https://www.epfl.ch/labs/lipid;;Construction and sustainable development;ZdtSbZSD9XRSwA2ot
104385;LMAM;https://www.epfl.ch/labs/lmam;;Internet of things|Micro and nanosystems|Neural engineering and prosthetics|Personalized health|Robotics and autonomous systems|Sports technology;dcmMDa6M7ThmGMJi7
104398;LPMN;https://www.epfl.ch/labs/lpmn;;Magnetism|Nanosciences|Surface physics and low-dimensional systems;KL2M4GRHd3sQJQtG9
104417;LMH;https://www.epfl.ch/labs/lmh;;Energy systems;AcuQjzYjb7tS96Qgq
104570;GGSD;https://www.epfl.ch/labs/ggsd;;Analytical chemistry|Physical chemistry;wqW7disSRCk2C2GDX
104570;LCPM;https://www.epfl.ch/labs/lcpm;;Analytical chemistry|Physical chemistry;zMKLcMXJTXSk5FDh6
104608;IIG;https://www.epfl.ch/labs/iig;;Artificial Intelligence (AI) |Machine Learning (ML)|Computer vision|Human-computer interaction (HCI);iYHSujzByc2rXJoWB
104610;LPAC;https://www.epfl.ch/labs/lpac;;Bio-inspired designs and systems|Advanced manufacturing|Learning and decision systems|Soft matter and flexible structures;k6NdtryixCdHnjHSz
104646;MCS;https://www.epfl.ch/labs/mcs;;Structure and materials;sycukhu5jDCjiL2oB
104651;LNS;https://www.epfl.ch/labs/lns;;Magnetism|Microscopy spectromicroscopy and imaging|Nanosciences|Surface physics and low-dimensional systems;pcDpQqatY8TAfCWhQ
104759;SCI-STI-RC;https://www.epfl.ch/labs/desl-pwrs;;Energy systems;sqwQe9mezvaD9voRa
