wp_site_url,wp_tagline,wp_site_title,site_type,openshift_env,category,theme,theme_faculty,status,installs_locked,updates_automatic,langs,unit_name,unit_id,comment,ventilation,,,,,,,,,,
https://wp-manager.epfl.ch,Manager,Manager,wordpress,manager,admin,epfl-master,,no,no,yes,"fr,en",SI-IDEV,13028,site de management des sites WP avec Main_WP,x,,,,,,,,,,
https://help-wordpress.epfl.ch,WordPress,WP,wordpress,subdomains,GeneralPublic,epfl-master,,yes,no,yes,"fr,en",IDEVING,13031,site démo sur WordPress,,,,,,,,,,,
https://refonteweb.epfl.ch,Projet Refonte Web,WWP,wordpress,subdomains,GeneralPublic,epfl-master,,yes,yes,yes,"fr,en",IDEVAM,13029,site du projet refonte web,x,,,,,,,,,,
https://demohd.epfl.ch,WordPress,WP,wordpress,subdomains,GeneralPublic,epfl-master,,yes,no,yes,"fr,en",IDEVING,13031,site documentation sur WordPress,x,,,,,,,,,,
https://spring.epfl.ch,Security and Privacy Engineering Laboratory,SPRING,wordpress,subdomains,GeneralPublic,epfl-master,ic,yes,yes,yes,en,IDEVAM,13029,site de labo IC,www.epfl.ch/laboratories/spring,,,,,,,,,,
https://scitas.epfl.ch,SCITAS -Scientific IT and Application Support,SCITAS-GE,wordpress,subdomains,GeneralPublic,epfl-master,,yes,yes,yes,en,SCITAS,12922,site de service it,,,,,,,,,,,
https://lpbs.epfl.ch,Laboratory of the Physics of Biological Systems,LPBS,wordpress,subdomains,GeneralPublic,epfl-master,sb,yes,yes,yes,en,LPBS,13565,site de labo SB,,,,,,,,,,,
https://flexlab.epfl.ch,Flexible Structures Laboratory FLEXLAB,FLEXLAB,wordpress,subdomains,GeneralPublic,epfl-master,sti,yes,yes,yes,en,FLEXLAB,13471,site de labo STI,,,,,,,,,,,
https://vpsi-next.epfl.ch,Systèmes d'information VPSI,VPSI,wordpress,subdomains,GeneralPublic,epfl-master,,yes,yes,yes,"fr,en",VPSI,12637,site de service pour la VPSI,,,,,,,,,,,
https://tunes.epfl.ch,Association des Tunisiens TUNES,TUNES,wordpress,subdomains,GeneralPublic,epfl-master,assoc,yes,yes,yes,"fr,en",TUNES,12493,site d'assoc,,,,,,,,,,,
https://2doptoelectronics2018.epfl.ch,Summer School on optoelectronics on 2D materials,SSOPTO,wordpress,subdomains,GeneralPublic,epfl-master,,yes,yes,yes,en,EDMI-GE,10761,site de summer school 2018(~conférence),,,,,,,,,,,
https://ae-next.epfl.ch,Assemblée de l'Ecole,AE,wordpress,subdomains,GeneralPublic,epfl-master,,yes,yes,yes,fr,AE,10009,site de test pour Jocelyne,,,,,,,,,,,
https://sti-ateliers.epfl.ch,Plateforme Ateliers Techniques,PAT STI,wordpress,subdomains,GeneralPublic,epfl-master,,yes,yes,yes,"fr,en",PAT-GE,11196,site de test pour Eric,,,,,,,,,,,
https://secure-it-next.epfl.ch,Sécurité informatique des systèmes d'information,VPSI,wordpress,subdomains,GeneralPublic,epfl-master,,yes,yes,yes,"fr,en",EXAPP,13033,"Site expliquant la politique de sécurité IT, sera rattaché au site 'it'",,,,,,,,,,,
https://help-infoscience.epfl.ch,Aide pour le service Infosiences,SISB - VPSI,wordpress,subdomains,GeneralPublic,epfl-master,,yes,yes,yes,en,SISB,10030,Mode d'emploi pour infosciences,,,,,,,,,,,
https://isus2018.epfl.ch,International Symposium on Ultrafast Science,ISUS,wordpress,subdomains,GeneralPublic,epfl-master,sb,yes,yes,yes,en,LSU,10862,Site de conférence en 2018,,,,,,,,,,,
https://ccmx.epfl.ch,Competence Centre for Materials Science and Technology,CCMX,wordpress,subdomains,GeneralPublic,epfl-master,,yes,yes,yes,en,CCMX-GE,11528,Site de centre (vpr),,,,,,,,,,,
https://dcml.epfl.ch,Digital and Cognitive Musicology Lab,DCML,wordpress,subdomains,GeneralPublic,epfl-master,cdh,yes,yes,yes,en,DCML,13398,Site de labo cdh,,,,,,,,,,,
https://livephysics.epfl.ch,Cours et expériences de physique,SPH,wordpress,subdomains,GeneralPublic,epfl-master,sb,yes,yes,yes,fr,SPH-GE,10093,Site d'aide aux ensignants de physique,,,,,,,,,,,
https://sar-next.epfl.ch,Section d'architecture,SAR,wordpress,subdomains,GeneralPublic,epfl-master,enac,yes,yes,yes,"fr,en",SAR-GE,10212,Site de test pour Nadja Maillard,,,,,,,,,,,
