name_fr,name_en,url_en,url_fr,type
ENAC,ENAC,https://www.epfl.ch/schools/enac/,https://www.epfl.ch/schools/enac/fr/home/,faculty
IC,IC,https://www.epfl.ch/schools/ic/,https://www.epfl.ch/schools/ic/fr/,faculty
SB,SB,https://www.epfl.ch/schools/sb/,https://www.epfl.ch/schools/sb/fr/,faculty
STI,STI,https://sti.epfl.ch/,https://sti.epfl.ch/fr/,faculty
SV,SV,https://www.epfl.ch/schools/sv/,https://www.epfl.ch/schools/sv/fr/science-de-la-vie/,faculty
CDH,CDH,https://www.epfl.ch/schools/cdh/,https://www.epfl.ch/schools/cdh/fr/index-fr-html/,faculty
CDM,CDM,https://www.epfl.ch/schools/cdm/,https://www.epfl.ch/schools/cdm/fr/college-du-management-de-la-technologie/,faculty
IA,IA,https://www.epfl.ch/schools/enac/fr/recherche/institut-darchitecture-et-de-la-ville-ia/,https://www.epfl.ch/schools/enac/research/institute-of-architecture-ia/,institute
IEL,IEL,https://sti.epfl.ch/fr/recherche/instituts/iel/,https://sti.epfl.ch/research/institutes/iel/,institute
IGM,IGM,https://sti.epfl.ch/fr/recherche/instituts/igm/,https://sti.epfl.ch/research/institutes/igm/,institute
MTEI,MTEI,https://www.epfl.ch/schools/cdm/college-of-management-of-technology/management-of-technology-institute/,https://www.epfl.ch/schools/cdm/college-of-management-of-technology/management-of-technology-institute/,institute
MATH,MATH,https://math.epfl.ch/fr/institut-de-mathematiques/,https://math.epfl.ch/,institute
IMT,IMT,https://sti.epfl.ch/fr/recherche/instituts/imt/,https://sti.epfl.ch/research/institutes/imt/,institute
IPHYS,IPHYS,https://www.epfl.ch/schools/sb/research/iphys/fr/index/,https://www.epfl.ch/schools/sb/research/iphys/,institute
GHI,GHI,https://www.epfl.ch/schools/sv/ghi/fr/institut-dinfectiologie/,https://www.epfl.ch/schools/sv/ghi/,institute
DHI,DHI,https://www.epfl.ch/schools/cdh/research-2/dhi/,https://www.epfl.ch/schools/cdh/research-2/dhi/,institute
IMX,IMX,https://sti.epfl.ch/fr/recherche/instituts/imx/,https://sti.epfl.ch/research/institutes/imx/,institute
BMI,BMI,https://www.epfl.ch/schools/sv/bmi/fr/neurosciences-brain-mind-institute/,https://www.epfl.ch/schools/sv/bmi/,institute
ISIC,ISIC,https://www.epfl.ch/schools/sb/research/isic/fr/,https://www.epfl.ch/schools/sb/research/isic/,institute
IIC,IIC,https://www.epfl.ch/schools/enac/fr/recherche/institut-dingenierie-civile-iic/,https://www.epfl.ch/schools/enac/research/research-iic/,institute
IIE,IIE,https://www.epfl.ch/schools/enac/fr/recherche/institut-dingenierie-de-lenvironnement-iie/,https://www.epfl.ch/schools/enac/research/environmental-engineering-institute-iie/,institute
IBI,IBI,https://www.epfl.ch/research/domains/bioengineering/,https://www.epfl.ch/research/domains/bioengineering/,institute
SFI,SFI,https://www.epfl.ch/schools/cdm/college-of-management-of-technology/swiss-finance-institute/,https://www.epfl.ch/schools/cdm/college-of-management-of-technology/swiss-finance-institute/,institute
ISREC,ISREC,https://www.epfl.ch/schools/sv/isrec/fr/institut-suisse-de-recherche-experimentale-sur-le-cancer/,https://www.epfl.ch/schools/sv/isrec/,institute
IAGS,IAGS,https://www.epfl.ch/schools/cdh/fr/recherche/iags/,https://www.epfl.ch/schools/cdh/research-2/area-and-global-studies/,institute
